time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.12,     0.007,    -0.297,     1.190   1740.094   1810.427   1673.773   1846.401
0.18,    -0.164,    -0.751,     0.944   1762.954   2058.680   1627.428   2475.833
0.24,    -0.238,    -1.345,     0.639   1884.896   1900.047   1241.325   2360.095
0.30,    -0.234,    -1.867,     0.118   1740.553   1903.370   1587.719   2388.243
0.36,    -0.292,    -2.284,     0.000   1437.335   2111.331   1352.864   2157.527
0.06,     0.070,     0.062,     1.186   1711.385   1762.995   1704.461   1860.172
0.12,     0.243,     0.421,     1.394   1563.860   2287.580   1623.596   2451.721
0.18,     0.557,     0.676,     1.655   1664.674   2173.050   1558.767   2224.481
0.24,     1.007,     1.259,     2.112   1355.357   2159.224   1498.148   1921.651
0.30,     1.533,     1.723,     2.729   1308.017   2105.588   1695.584   2202.836
0.36,     1.880,     2.113,     3.405   1801.418   2254.886   1286.006   2668.805
0.42,     2.417,     2.594,     3.763   1481.445   2583.976   1439.733   2761.212
0.48,     3.038,     2.587,     3.997   1328.812   2245.791   1453.959   2309.948
0.54,     2.952,     2.480,     4.161   1409.865   2250.439   1468.640   2629.296
0.60,     2.617,     2.319,     4.387   1320.893   2708.050   1217.830   2761.956
0.66,     2.388,     2.170,     4.685   1336.245   2825.621   1254.065   2818.407
0.72,     2.274,     2.306,     4.934   1266.185   2609.436   1388.217   2647.818
0.78,     1.389,     2.502,     4.967   1331.377   2784.242   1262.230   2815.505
0.84,     0.237,     2.956,     4.957   1627.898   2859.346   992.469   3017.084
0.90,    -0.552,     3.282,     4.767   1254.855   2868.734   1385.379   2970.837
0.96,    -1.637,     3.456,     4.768   1726.491   2829.537   1027.201   3038.755
1.02,    -2.920,     3.225,     5.136   1994.245   2869.309   1082.311   3166.250
1.08,    -4.240,     2.639,     6.035   1835.584   2623.678   1481.542   2814.146
1.14,    -5.265,     2.266,     7.089   1958.066   2534.352   1438.914   3033.070
1.20,    -5.756,     2.283,     7.389   1911.247   2699.964   1080.522   3172.692
1.26,    -5.966,     2.784,     7.110   2310.882   2446.216   892.072   2993.236
1.32,    -6.060,     3.146,     6.739   2018.273   2401.275   1140.427   3012.377
1.38,    -6.318,     3.683,     6.393   2191.893   2692.537   1033.995   3105.050
1.44,    -6.114,     4.386,     5.782   2350.817   2785.931   1069.415   3206.762
1.50,    -6.121,     4.757,     4.650   2324.906   2509.297   1345.185   3123.817
1.56,    -6.221,     5.131,     3.034   2228.852   2814.264   999.464   3284.411
1.62,    -6.196,     5.695,     1.432   2238.751   2529.397   990.113   3207.593
1.68,    -6.546,     6.610,     0.000   2345.669   2264.071   1486.045   3152.034
0.06,    -0.065,    -0.042,     1.209   1695.374   1872.664   1686.074   1836.211
0.12,     0.024,    -0.053,     1.467   1203.143   2258.449   1271.138   2093.856
0.18,     0.062,    -0.064,     1.520   1577.694   2274.673   1574.122   2170.907
0.24,     0.239,    -0.059,     1.596   1213.252   2483.456   1198.475   2393.684
0.30,     0.379,     0.243,     1.697   1542.233   2333.811   1430.736   2109.118
0.36,     0.959,     0.773,     1.838   1315.780   2444.301   1401.821   2106.550
0.42,     1.459,     1.496,     1.882   1403.454   2176.171   1559.118   2003.909
0.48,     1.661,     2.061,     2.015   1529.644   2623.158   1542.553   2431.755
0.54,     1.848,     2.550,     1.890   1255.984   2900.162   1464.782   2480.552
0.60,     1.620,     2.998,     1.643   1426.540   2929.652   1627.736   2734.446
0.66,     1.397,     3.389,     1.467   1325.133   2750.840   1541.954   2610.979
0.72,     1.151,     4.056,     1.550   1688.567   2815.967   1425.947   2894.688
0.78,     0.879,     4.779,     1.221   1321.039   2961.598   1578.509   2899.829
0.84,     0.006,     5.210,     0.700   1635.899   3218.318   1290.608   3351.807
0.90,    -1.009,     6.201,     0.501   1551.921   3180.648   1760.150   3369.696
0.96,    -1.508,     7.465,     0.000   1583.436   3062.288   1671.339   3410.314
0.06,     0.122,    -0.019,     1.210   1658.874   1889.284   1727.984   1775.447
0.12,     0.339,     0.127,     1.456   1453.451   1923.717   1576.486   1960.486
0.18,     0.568,     0.469,     1.666   1439.010   2105.599   1562.002   1984.624
0.24,     0.929,     0.515,     1.874   1459.977   2065.455   1485.224   1792.486
0.30,     1.425,     0.785,     1.747   1287.243   2227.709   1528.014   2209.250
0.36,     1.846,     1.158,     1.631   1407.310   2012.767   1549.938   1880.286
0.42,     2.232,     1.544,     1.141   1315.937   2845.730   1545.771   2346.213
0.48,     2.715,     2.098,     0.214   1346.284   2646.878   1412.771   2908.858
0.54,     2.685,     2.699,     0.000   1409.513   2505.711   1592.463   2211.757
0.06,    -0.047,     0.074,     1.164   1640.766   1898.153   1744.889   1760.705
0.12,    -0.042,     0.128,     1.318   1374.363   2052.606   1551.915   2275.221
0.18,     0.274,    -0.105,     1.301   1381.139   2181.985   1500.648   1871.241
0.24,     0.481,    -0.263,     1.356   1483.490   1818.580   1587.555   1931.081
0.30,     0.678,    -0.200,     1.574   1309.529   2025.466   1435.324   2024.903
0.36,     0.944,    -0.172,     1.631   1398.622   2101.910   1604.976   2101.533
0.42,     0.930,    -0.169,     1.566   1237.827   2199.672   1609.331   2289.192
0.48,     0.612,     0.101,     1.633   1370.930   1818.990   1647.152   1832.952
0.54,     0.064,     0.628,     1.664   1527.560   1895.600   1426.384   1571.260
0.60,    -0.478,     1.191,     1.525   1345.456   2248.658   1591.348   1908.543
0.66,    -1.217,     1.936,     1.231   1678.576   2175.306   1774.946   2159.687
0.72,    -1.895,     2.410,     0.496   1545.372   2354.780   1707.788   2481.857
0.78,    -2.822,     2.741,     0.000   1356.037   2137.180   2171.323   2586.886
0.06,    -0.072,    -0.050,     1.240   1624.743   1920.094   1797.524   1740.163
0.12,     0.073,    -0.205,     1.430   1236.741   2427.970   1683.320   2336.016
0.18,     0.065,    -0.355,     1.362   1365.817   2174.037   1843.941   2336.463
0.24,    -0.000,    -0.931,     1.145   1445.302   2199.899   1761.341   1954.386
0.30,     0.135,    -1.444,     1.038   1237.460   2080.810   1583.540   1861.224
0.36,    -0.004,    -2.222,     0.713   1208.903   1940.667   1783.949   2013.727
0.42,    -0.359,    -3.012,     0.240   1415.036   1655.788   1586.190   1709.695
0.48,    -0.931,    -3.766,     0.000   1226.350   1327.185   1264.773   1845.595
0.06,     0.099,     0.021,     1.177   1622.469   1918.657   1833.474   1723.822
0.12,     0.206,    -0.055,     1.080   1404.763   2114.023   1942.125   2088.560
0.18,     0.187,    -0.169,     0.863   1474.929   1904.567   2036.382   2092.846
0.24,    -0.038,    -0.649,     0.438   1406.916   1829.900   1881.576   1995.891
0.30,    -0.347,    -1.301,     0.000   1548.691   1765.862   1690.486   1797.455
0.06,    -0.135,     0.003,     1.233   1623.613   1910.004   1847.374   1711.424
0.12,    -0.597,     0.170,     1.549   1421.154   1829.819   2014.459   2101.963
0.18,    -0.687,     0.351,     1.839   1208.407   2224.225   1953.226   2058.967
0.24,    -0.647,     0.387,     2.113   1245.831   1953.017   2057.778   2148.074
0.30,    -0.644,     0.005,     2.551   1316.141   2054.764   2450.161   2463.547
0.36,    -0.852,    -0.208,     2.766   1250.720   2289.092   2324.237   2284.803
0.42,    -1.424,    -0.406,     3.284   1280.467   2524.610   2202.790   2339.392
0.48,    -2.062,    -0.968,     4.052   1002.876   2593.266   2360.850   2273.450
0.54,    -2.764,    -1.858,     4.848   1030.040   2189.076   2671.386   2289.146
0.60,    -3.721,    -2.374,     5.690   927.419   2133.803   2536.928   1978.947
0.66,    -4.916,    -2.561,     6.546   776.992   1370.258   2565.200   2030.216
0.72,    -5.942,    -2.562,     7.062   662.879   1453.787   3083.998   2173.024
0.78,    -6.529,    -2.891,     7.408   606.160   1398.718   3105.448   1958.915
0.84,    -7.154,    -3.478,     7.760   663.302   971.443   3090.817   2166.762
0.90,    -7.315,    -3.842,     8.055   575.792   836.766   3181.276   1937.432
0.96,    -7.325,    -4.093,     8.390   524.250   821.359   3038.776   2007.896
1.02,    -7.349,    -4.622,     8.780   465.343   942.579   2878.806   2308.539
1.08,    -7.935,    -5.183,     9.264   533.339   929.512   2963.666   2127.003
1.14,    -8.933,    -5.440,     9.394   369.639   925.997   2923.379   2345.426
1.20,   -10.159,    -5.692,     9.596   403.780   1295.730   2683.026   2064.915
1.26,   -11.493,    -6.263,     9.673   356.401   911.319   2423.141   2066.302
1.32,   -13.167,    -7.001,     9.780   335.591   678.548   2433.832   2200.016
1.38,   -14.890,    -7.773,     9.998   280.921   809.905   2096.841   2328.038
1.44,   -16.615,    -8.621,    10.282   199.132   459.158   1798.163   1840.847
0.06,    -0.028,     0.131,     1.214   1644.643   1881.278   1789.213   1674.310
0.12,     0.012,     0.588,     1.628   1316.265   2075.891   1974.452   1855.978
0.18,     0.099,     1.187,     2.126   1363.348   2103.170   2014.241   1739.982
0.24,    -0.302,     1.629,     2.499   1351.006   2806.553   2402.502   2486.773
0.30,    -0.598,     2.011,     3.036   1233.581   2353.842   2668.254   2098.566
0.36,    -1.045,     2.369,     4.016   1172.154   2633.487   2766.915   2445.850
0.42,    -1.575,     2.964,     4.752   1287.178   2944.576   2768.106   2528.081
0.48,    -2.271,     3.377,     5.308   1245.479   3170.618   2859.302   2633.606
0.54,    -3.151,     3.637,     5.603   1224.178   3110.708   3156.481   2664.046
0.60,    -4.087,     3.776,     6.031   1129.317   2968.674   2997.300   2478.649
0.66,    -5.015,     3.982,     6.573   1081.021   2939.346   3240.119   2273.470
0.72,    -5.779,     3.957,     7.440   1040.655   3075.610   3253.304   2598.591
0.78,    -6.740,     3.468,     8.066   923.857   3136.313   3264.173   2298.221
0.84,    -7.880,     2.687,     8.755   860.137   3067.497   3272.784   2205.006
0.90,    -8.908,     2.084,     9.672   800.043   3032.558   3090.207   1805.135
0.96,    -9.965,     1.328,    10.735   716.038   2994.751   3134.360   1760.415
0.06,    -0.044,     0.091,     1.231   1646.508   1913.060   1699.830   1652.024
0.12,    -0.470,     0.242,     1.522   1476.849   2001.663   1890.460   1708.927
0.18,    -0.692,     0.156,     1.722   1445.654   2363.592   1940.501   1953.947
0.24,    -0.876,    -0.007,     1.979   1129.323   2002.335   1928.844   1539.588
0.30,    -0.921,    -0.337,     2.339   1249.132   2130.730   2119.546   1761.911
0.36,    -0.881,    -0.770,     2.487   1242.770   2223.155   2037.548   1734.472
0.42,    -1.090,    -1.099,     2.680   1174.343   2202.914   1540.314   1452.047
0.48,    -1.175,    -1.416,     2.738   1281.413   2664.569   1507.815   1756.046
0.54,    -1.349,    -1.641,     2.570   1115.053   2474.754   1869.877   1622.047
0.60,    -1.364,    -2.033,     2.764   946.187   2634.738   1748.773   1676.837
0.66,    -1.125,    -2.368,     2.807   903.013   2606.155   1280.448   1589.881
0.72,    -0.823,    -2.812,     2.672   917.675   2731.675   1378.975   1665.671
0.78,    -0.434,    -3.198,     2.469   795.876   2796.279   1203.668   1602.570
0.84,     0.021,    -3.641,     1.986   764.758   2950.258   760.583   1742.067
0.90,     0.309,    -4.174,     1.448   599.694   2924.049   660.719   1546.393
0.96,     0.508,    -4.766,     0.740   688.275   2948.167   936.139   1575.119
1.02,     0.585,    -5.245,     0.000   558.664   3017.268   609.046   1656.910
0.06,     0.076,    -0.100,     1.165   1665.919   1881.162   1662.484   1646.586
0.12,     0.524,    -0.098,     1.528   1097.906   2161.737   2000.935   1594.947
0.18,     1.051,     0.171,     1.886   1176.764   2169.150   1733.280   1558.940
0.24,     1.916,     0.620,     2.432   1343.240   2704.982   2216.373   1632.260
0.30,     2.926,     1.210,     3.002   1076.538   2300.428   2362.168   1506.219
0.36,     3.788,     1.404,     3.629   1478.912   2972.879   2723.154   1913.260
0.42,     4.888,     1.566,     4.080   1728.519   3391.170   2665.865   2357.353
0.48,     5.354,     1.757,     4.337   1674.265   3336.975   3057.720   2229.339
0.54,     5.677,     2.004,     4.984   1407.991   3173.357   3050.860   1714.972
0.60,     5.797,     1.887,     5.805   1655.994   3475.397   2958.179   2204.851
0.66,     5.812,     1.339,     7.193   1731.158   3538.216   2953.744   2523.265
