time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.49452428277e-05,7.22680111418e-06,10.0028096966,0.00214503662168,0.00612800998315,0.0,-0.0014795379876,0.000442641641226,0.0936512243957,0.0148886763687,-0.028344076877,0.0,435.1980788258964,432.8196300152562,435.1290913022438,436.37341361607616
0.12000000000000001,-0.000245163455885,0.000158609969592,10.0133595576,0.0196692449312,0.00442351232706,0.0,-0.00567324985791,0.00660914119638,0.25797197989,-0.0310007478362,-0.0305331230656,0.0,457.39295622003505,457.2183962446549,458.29380171907576,454.6323785055941
0.18,-0.000705676899233,0.00111455758016,10.0401230208,0.0178144789358,0.00283462641034,0.0,-0.00945921881589,0.0249878581787,0.634017861022,-0.0307608180644,-0.037266133895,0.0,517.2633888364461,516.7888471888798,517.5460103397719,517.5627162202912
0.23999999999999996,-0.00132498808791,0.00296843612288,10.080798219,0.0159568829902,0.00144062026591,0.0,-0.0110357447294,0.0366221134058,0.721773706332,-0.0318788980551,-0.0283432709802,0.0,433.3760641509304,434.1247804041214,433.21925537922755,433.1248828136664
0.3,-0.00201960970007,0.00554799044876,10.130680959,0.0147867564794,0.00070319765015,0.0,-0.0120442890261,0.049233340771,0.9408315537,-0.0425950234293,-0.0403610581465,0.0,474.3024201251021,473.37834241095635,474.09163199066296,473.2671844969804
0.36000000000000004,-0.00274864609543,0.00876894300814,10.1879795879,0.0127007969842,6.28182453389,0.0,-0.0120754915224,0.0579486806172,0.969101574187,-0.0513985427756,-0.0482219000717,0.0,415.4600238236699,414.7691402521521,414.1772953783775,413.40101213859424
0.4200000000000001,-0.00348458046083,0.0125304025934,10.2512160541,0.0114208935312,0.00805312882633,0.0,-0.0135579561706,0.0673054957279,1.13862619823,-0.0673610482744,-0.0878710154296,0.0,461.2991311366989,458.15520646560935,459.71628944567595,458.4477593732686
0.48000000000000015,-0.00446573882149,0.0168137560207,10.3248067779,0.00752487606012,0.0042399966911,0.0,-0.0187007824122,0.0750262065834,1.31422010003,-0.0642119165046,-0.075784827508,0.0,461.2603470362891,462.20826438499444,461.2900846558738,461.5355742183861
0.5400000000000001,-0.00566258559712,0.0214813087356,10.4079133755,0.00747334484034,6.28290495071,0.0,-0.0207083127483,0.0805766199833,1.45583122664,-0.0868035434665,-0.0791415740054,0.0,452.46738241829706,452.1925120913338,451.83373190967507,450.00496166048976
0.6000000000000002,-0.00688103925086,0.0265019178151,10.4993811331,0.0126942235951,6.27835017601,0.0,-0.0194241526703,0.0873770167774,1.5929060101,-0.123400953652,-0.0853107374654,0.0,450.8901743678479,450.3863097154053,452.04404327183147,449.07710411750344
0.6600000000000003,-0.00793630986045,0.0319824899061,10.5982445575,0.00544319911651,6.27574861708,0.0,-0.0155028402892,0.0945625245823,1.70239162508,-0.129052153321,-0.103932324242,0.0,443.78243459286443,442.24429807755735,442.04216719862006,441.56187794922465
0.7200000000000003,-0.00869880332062,0.0377373307787,10.7024607458,6.28164607694,6.26987865856,0.0,-0.00935056176398,0.096576255095,1.77137477383,-0.120623552037,-0.111867946244,0.0,429.8340073006993,429.15060784338505,429.8193758392933,430.51795690733064
0.7800000000000004,-0.00890535143593,0.0434709518759,10.8154549176,6.27678711861,6.26315462676,0.0,0.00326723065612,0.0939421428642,1.99472201498,-0.104887467022,-0.113153113206,0.0,477.4617577886173,477.35346132003235,476.8215062883828,478.01117015433533
0.8400000000000004,-0.00817262206544,0.0489166370128,10.9426986111,6.27061221163,6.25642861199,0.0,0.0219862673207,0.0868123756957,2.2462514855,-0.102133068323,-0.111350109765,0.0,486.6733014257868,486.7981787546198,485.83418184303076,486.0322376708379
0.9000000000000005,-0.00627383336533,0.0538406234042,11.0807183319,6.26494419569,6.25141826371,0.0,0.0418309857994,0.0767477976987,2.35416709799,-0.110859550209,-0.0983409235359,0.0,443.7683004014388,444.8247815389917,444.7959454806116,444.0710850216904
0.9600000000000005,-0.00299754312509,0.0579741030723,11.2284863604,6.25829741582,6.25139752149,0.0,0.0673329032595,0.0602507009127,2.57095741073,-0.110640091642,-0.12613121372,0.0,478.5983057670385,476.4691618955982,477.9993989728421,478.0062030552195
1.0200000000000005,0.00160673781643,0.0611136025277,11.3835000647,6.2536795148,6.25699311261,0.0,0.0855937111419,0.0439676474837,2.5961132552,-0.0962234109917,-0.167094639891,0.0,421.5256301073614,417.95111457919035,418.0461726384357,419.2899277849145
1.0800000000000005,0.00724321940962,0.0631936028477,11.5399476406,6.24872583735,6.25068167762,0.0,0.10283847848,0.0249297338805,2.61872388734,-0.107414486178,-0.18944176705,0.0,420.2207155771223,418.24764620790904,418.26704262646683,417.28194734814616
1.1400000000000006,0.0142435180098,0.0638186395873,11.7039847184,6.24342566383,6.24433370167,0.0,0.131283591834,-0.00470088157646,2.84858272419,-0.120396762661,-0.166073375758,0.0,481.67560014887096,483.4105105956549,483.6569649226255,482.66823461594174
1.2000000000000006,0.0233175550172,0.0623248476625,11.886705562,6.23620323041,6.23488429915,0.0,0.172502110764,-0.0460922831071,3.24098100979,-0.122865039412,-0.175227018931,0.0,529.087460993655,528.4344681415084,529.1416257202176,528.9609838533542
1.2600000000000007,0.034673690294,0.0585919073072,12.0835305925,6.2292108662,6.22507796883,0.0,0.207002105385,-0.0790079832771,3.31953717403,-0.130920531723,-0.167137450649,0.0,439.9727288439144,440.6131162918336,441.38761269614685,440.7077979987952
